Время	T1	T2	T3
2019-10-11 22:43:15	21	1010	1011
2019-10-11 22:43:25	21	1010	1011
2019-10-11 22:43:35	20	1010	1011
2019-10-11 22:43:45	20	1010	1011
2019-10-11 22:43:55	21	1010	1011
2019-10-11 22:44:05	20	1010	1011
2019-10-11 22:44:15	20	1010	1011
2019-10-11 22:44:25	20	1010	1011
2019-10-11 22:44:35	20	1010	1011
2019-10-11 22:44:45	20	1010	1011
2019-10-11 22:44:55	20	1009	1011
2019-10-11 22:45:05	20	1008	1011
2019-10-11 22:45:15	20	1009	1011
2019-10-11 22:45:25	20	1010	1011
2019-10-11 22:45:35	20	1010	1011
2019-10-11 22:45:45	20	1010	1011
2019-10-11 22:45:55	20	1010	1011
2019-10-11 22:46:05	20	1010	1011
2019-10-11 22:46:15	20	1010	1011
2019-10-11 22:46:25	20	1009	1011
2019-10-11 22:46:35	20	1009	1011
2019-10-11 22:46:45	20	1010	1011
2019-10-11 22:46:55	20	1010	1011
2019-10-11 22:47:05	20	1010	1011
2019-10-11 22:47:15	20	1010	1011
2019-10-11 22:47:25	20	1010	1011
2019-10-11 22:47:35	20	1010	1011
2019-10-11 22:47:45	20	1009	1011
2019-10-11 22:47:55	20	1009	1011
2019-10-11 22:48:05	20	1010	1011
2019-10-11 22:48:15	20	1010	1011
2019-10-11 22:48:25	20	1010	1011
2019-10-11 22:48:35	21	1010	1011
2019-10-11 22:48:45	20	1010	1011
2019-10-11 22:48:55	20	1010	1011
2019-10-11 22:49:05	20	1010	1010
2019-10-11 22:49:15	20	1010	1011
2019-10-11 22:49:25	20	1010	1011
2019-10-11 22:49:35	20	1010	1011
2019-10-11 22:49:45	20	1010	1011
2019-10-11 22:49:55	20	1010	1011
2019-10-11 22:50:05	20	1010	1011
2019-10-11 22:50:15	20	1010	1010
2019-10-11 22:50:25	20	1009	1011
2019-10-11 22:50:35	19	1010	1011
2019-10-11 22:50:45	20	1010	1011
2019-10-11 22:50:55	20	1010	1011
2019-10-11 22:51:05	20	1010	1011
2019-10-11 22:51:15	20	1010	1011
2019-10-11 22:51:25	20	1010	1011
2019-10-11 22:51:35	20	1010	1011
2019-10-11 22:51:45	20	1009	1011
2019-10-11 22:51:55	20	1010	1011
2019-10-11 22:52:05	20	1010	1011
2019-10-11 22:52:15	20	1010	1011
2019-10-11 22:52:25	21	1010	1011
2019-10-11 22:52:35	21	1010	1011
2019-10-11 22:52:45	20	1010	1010
2019-10-11 22:52:55	20	1010	1011
2019-10-11 22:53:05	20	1010	1011
2019-10-11 22:53:15	21	1009	1010
2019-10-11 22:53:25	21	1010	1011
2019-10-11 22:53:35	20	1010	1010
2019-10-11 22:53:45	20	1010	1010
2019-10-11 22:53:55	20	1010	1011
2019-10-11 22:54:05	20	1010	1010
2019-10-11 22:54:15	20	1010	1011
2019-10-11 22:54:25	20	1010	1011
2019-10-11 22:54:35	20	1010	1011
2019-10-11 22:54:45	20	1010	1011
2019-10-11 22:54:55	20	1010	1010
2019-10-11 22:55:05	20	1010	1010
2019-10-11 22:55:15	20	1010	1010
2019-10-11 22:55:25	20	1010	1011
2019-10-11 22:55:35	21	1010	1011
2019-10-11 22:55:45	20	1010	1011
2019-10-11 22:55:55	20	1010	1011
2019-10-11 22:56:05	20	1010	1011
2019-10-11 22:56:15	20	1010	1011
2019-10-11 22:56:25	20	1010	1011
2019-10-11 22:56:35	20	1010	1011
2019-10-11 22:56:45	20	1010	1011
2019-10-11 22:56:55	20	1010	1011
2019-10-11 22:57:05	20	1010	1011
2019-10-11 22:57:15	21	1010	1011
2019-10-11 22:57:25	21	1008	1010
2019-10-11 22:57:35	20	1010	1011
2019-10-11 22:57:45	20	1010	1010
2019-10-11 22:57:55	20	1010	1011
2019-10-11 22:58:05	20	1010	1011
2019-10-11 22:58:15	20	1010	1011
2019-10-11 22:58:25	20	1010	1010
2019-10-11 22:58:35	21	1010	1010
2019-10-11 22:58:45	20	1010	1011
2019-10-11 22:58:55	20	1010	1010
2019-10-11 22:59:05	20	1010	1010
2019-10-11 22:59:15	20	1010	1010
2019-10-11 22:59:25	20	1010	1010
2019-10-11 22:59:35	20	1010	1011
2019-10-11 22:59:45	20	1010	1011
2019-10-11 22:59:55	20	1010	1011
