Время	T1	T2	T3	T4
2019-12-09T19:52:03	-100	-100	-100	-100
2019-12-09T19:52:13	-100	-100	-100	-100
2019-12-09T19:52:23	-100	-100	-100	-100
2019-12-09T19:52:33	-100	-100	-100	-100
2019-12-09T19:52:43	-100	-100	-100	-100
2019-12-09T19:52:53	-100	-100	-100	-100
2019-12-09T19:53:03	-100	-100	-100	-100
2019-12-09T19:53:13	-100	-100	-100	-100
2019-12-09T19:53:23	-100	-100	-100	-100
2019-12-09T19:53:33	-100	-100	-100	-100
2019-12-09T19:53:43	-100	-100	-100	-100
2019-12-09T19:53:53	-100	-100	-100	-100
2019-12-09T19:54:03	-100	-100	-100	-100
2019-12-09T19:54:13	-100	-100	-100	-100
2019-12-09T19:54:23	-100	-100	-100	-100
2019-12-09T19:54:33	-100	-100	-100	-100
2019-12-09T19:54:43	-100	-100	-100	-100
2019-12-09T19:54:53	-100	-100	-100	-100
2019-12-09T19:55:03	-100	-100	-100	-100
2019-12-09T19:55:13	-100	-100	-100	-100
2019-12-09T19:55:23	-100	-100	-100	-100
2019-12-09T19:55:33	-100	-100	-100	-100
2019-12-09T19:55:43	-100	-100	-100	-100
2019-12-09T19:55:53	-100	-100	-100	-100
2019-12-09T19:56:03	-100	-100	-100	-100
2019-12-09T19:56:13	-100	-100	-100	-100
2019-12-09T19:56:23	-100	-100	-100	-100
2019-12-09T19:56:33	-100	-100	-100	-100
2019-12-09T19:56:43	-100	-100	-100	-100
2019-12-09T19:56:53	-100	-100	-100	-100
2019-12-09T19:57:03	-100	-100	-100	-100
2019-12-09T19:57:13	-100	-100	-100	-100
2019-12-09T19:57:23	-100	-100	-100	-100
2019-12-09T19:57:33	-100	-100	-100	-100
2019-12-09T19:57:43	-100	-100	-100	-100
2019-12-09T19:57:53	-100	-100	-100	-100
2019-12-09T19:58:03	-100	-100	-100	-100
2019-12-09T19:58:13	-100	-100	-100	-100
2019-12-09T19:58:23	-100	-100	-100	-100
2019-12-09T19:58:33	-100	-100	-100	-100
2019-12-09T19:58:43	-100	-100	-100	-100
2019-12-09T19:58:53	-100	-100	-100	-100
2019-12-09T19:59:03	-100	-100	-100	-100
2019-12-09T19:59:13	-100	-100	-100	-100
2019-12-09T19:59:23	-100	-100	-100	-100
2019-12-09T19:59:33	-100	-100	-100	-100
2019-12-09T19:59:43	-100	-100	-100	-100
2019-12-09T19:59:53	-100	-100	-100	-100
2019-12-09T20:00:03	-100	-100	-100	-100
2019-12-09T20:00:13	-100	-100	-100	-100
2019-12-09T20:00:23	-100	-100	-100	-100
2019-12-09T20:00:33	-100	-100	-100	-100
2019-12-09T20:00:43	-100	-100	-100	-100
2019-12-09T20:00:53	-100	-100	-100	-100
2019-12-09T20:01:03	-100	-100	-100	-100
