time	T1	T2	T3	T4
2020-11-29T17:28:32	-100	-100	-100	-100
2020-11-29T17:28:42	-100	-100	-100	-100
2020-11-29T17:28:52	-100	-100	-100	-100
2020-11-29T17:29:02	-100	-100	-100	-100
2020-11-29T17:29:12	-100	-100	-100	-100
2020-11-29T17:29:22	-100	-100	-100	-100
2020-11-29T17:29:32	-100	-100	-100	-100
2020-11-29T17:29:42	-100	-100	-100	-100
2020-11-29T17:29:52	-100	-100	-100	-100
2020-11-29T17:30:02	-100	-100	-100	-100
2020-11-29T17:30:12	-100	-100	-100	-100
2020-11-29T17:30:22	-100	-100	-100	-100
2020-11-29T17:30:32	-100	-100	-100	-100
2020-11-29T17:30:42	-100	-100	-100	-100
2020-11-29T17:30:52	-100	-100	-100	-100
2020-11-29T17:31:02	-100	-100	-100	-100
2020-11-29T17:31:12	-100	-100	-100	-100
2020-11-29T17:31:22	-100	-100	-100	-100
2020-11-29T17:31:32	-100	-100	-100	-100
2020-11-29T17:31:42	-100	-100	-100	-100
2020-11-29T17:31:52	-100	-100	-100	-100
2020-11-29T17:32:02	-100	-100	-100	-100
2020-11-29T17:32:12	-100	-100	-100	-100
2020-11-29T17:32:22	-100	-100	-100	-100
2020-11-29T17:32:32	-100	-100	-100	-100
2020-11-29T17:32:42	-100	-100	-100	-100
2020-11-29T17:32:52	-100	-100	-100	-100
2020-11-29T17:33:02	-100	-100	-100	-100
2020-11-29T17:33:12	-100	-100	-100	-100
2020-11-29T17:33:22	-100	-100	-100	-100
2020-11-29T17:33:32	-100	-100	-100	-100
2020-11-29T17:33:42	-100	-100	-100	-100
2020-11-29T17:33:52	-100	-100	-100	-100
2020-11-29T17:34:02	-100	-100	-100	-100
2020-11-29T17:34:12	-100	-100	-100	-100
2020-11-29T17:34:22	-100	-100	-100	-100
2020-11-29T17:34:32	-100	-100	-100	-100
2020-11-29T17:34:42	-100	-100	-100	-100
2020-11-29T17:34:52	-100	-100	-100	-100
2020-11-29T17:35:02	-100	-100	-100	-100
2020-11-29T17:35:12	-100	-100	-100	-100
2020-11-29T17:35:22	-100	-100	-100	-100
2020-11-29T17:35:32	-100	-100	-100	-100
2020-11-29T17:35:42	-100	-100	-100	-100
2020-11-29T17:35:52	-100	-100	-100	-100
2020-11-29T17:36:02	-100	-100	-100	-100
2020-11-29T17:36:12	-100	-100	-100	-100
2020-11-29T17:36:22	-100	-100	-100	-100
2020-11-29T17:36:32	-100	-100	-100	-100
2020-11-29T17:36:42	-100	-100	-100	-100
2020-11-29T17:36:52	-100	-100	-100	-100
2020-11-29T17:37:02	-100	-100	-100	-100
2020-11-29T17:37:12	-100	-100	-100	-100
2020-11-29T17:37:22	-100	-100	-100	-100
2020-11-29T17:37:32	-100	-100	-100	-100
2020-11-29T17:37:42	-100	-100	-100	-100
2020-11-29T17:37:52	-100	-100	-100	-100
2020-11-29T17:38:02	-100	-100	-100	-100
2020-11-29T17:38:12	-100	-100	-100	-100
2020-11-29T17:38:22	-100	-100	-100	-100
2020-11-29T17:38:32	-100	-100	-100	-100
2020-11-29T17:38:42	-100	-100	-100	-100
2020-11-29T17:38:52	-100	-100	-100	-100
2020-11-29T17:39:02	-100	-100	-100	-100
2020-11-29T17:39:12	-100	-100	-100	-100
2020-11-29T17:39:22	-100	-100	-100	-100
2020-11-29T17:39:32	-100	-100	-100	-100
2020-11-29T17:39:42	-100	-100	-100	-100
2020-11-29T17:39:52	-100	-100	-100	-100
2020-11-29T17:40:02	-100	-100	-100	-100
2020-11-29T17:40:12	-100	-100	-100	-100
2020-11-29T17:40:22	-100	-100	-100	-100
2020-11-29T17:40:32	-100	-100	-100	-100
2020-11-29T17:40:42	-100	-100	-100	-100
2020-11-29T17:40:52	-100	-100	-100	-100
2020-11-29T17:41:02	-100	-100	-100	-100
2020-11-29T17:41:12	-100	-100	-100	-100
2020-11-29T17:41:22	-100	-100	-100	-100
2020-11-29T17:41:32	-100	-100	-100	-100
2020-11-29T17:41:42	-100	-100	-100	-100
2020-11-29T17:41:52	-100	-100	-100	-100
2020-11-29T17:42:02	-100	-100	-100	-100
2020-11-29T17:42:12	-100	-100	-100	-100
2020-11-29T17:42:22	-100	-100	-100	-100
2020-11-29T17:42:32	-100	-100	-100	-100
2020-11-29T17:42:42	-100	-100	-100	-100
2020-11-29T17:42:52	-100	-100	-100	-100
2020-11-29T17:43:02	-100	-100	-100	-100
2020-11-29T17:43:12	-100	-100	-100	-100
2020-11-29T17:43:22	-100	-100	-100	-100
2020-11-29T17:43:32	-100	-100	-100	-100
2020-11-29T17:43:42	-100	-100	-100	-100
2020-11-29T17:43:52	-100	-100	-100	-100
2020-11-29T17:44:02	-100	-100	-100	-100
2020-11-29T17:44:12	-100	-100	-100	-100
2020-11-29T17:44:22	-100	-100	-100	-100
2020-11-29T17:44:32	-100	-100	-100	-100
2020-11-29T17:44:42	-100	-100	-100	-100
2020-11-29T17:44:52	-100	-100	-100	-100
2020-11-29T17:45:02	-100	-100	-100	-100
2020-11-29T17:45:12	-100	-100	-100	-100
2020-11-29T17:45:22	-100	-100	-100	-100
2020-11-29T17:45:32	-100	-100	-100	-100
